0,1,2,3,4,5,6,7,8
BPNN,8,0.0001,-11.15061637,16.189342573104778,49.024791732327735,13.103663789462248,,
BPNN,8,0.001,-0.185268366,5.056364867578839,15.311754225741355,3.94203565338445,,
BPNN,8,0.01,0.33328985554064505,3.7922642333557204,11.483787151621506,3.000782817315443,,
BPNN,16,0.0001,-8.420126362,14.254711189911392,43.16631414365493,10.998368846492939,,
BPNN,16,0.001,-0.061443147,4.784961272123807,14.489886093511439,3.679919456680354,,
BPNN,16,0.01,0.29605381873705816,3.8967252624769992,11.800117488921495,3.070500489002255,,
BPNN,32,0.0001,-4.049006692,10.435975035876666,31.602364354657464,7.672164374068916,,
BPNN,32,0.001,0.20177713952043685,4.149465319058181,12.565468433863103,3.2556431441706186,,
BPNN,32,0.01,0.40925930019721946,3.569673580200308,10.809735048317714,2.813043407346829,,
BPNN,64,0.0001,-3.225521747,9.547072684060614,28.910577923468196,7.016324455286873,,
BPNN,64,0.001,0.2661208805685241,3.9787103529059817,12.048385876923499,3.117501512162901,,
BPNN,64,0.01,0.44982302622541004,3.44493683670296,10.4320055115121,2.68904947228804,,
BPNN,128,0.0001,-1.327885923,7.086159204782038,21.458405591693705,5.25672090143508,,
BPNN,128,0.001,0.32613844362023425,3.8125486898623815,11.545212824168246,2.9688954576895976,,
BPNN,128,0.01,0.3826404250948626,3.649212488824272,11.050595874648272,2.859591869473742,,
CNN,8,16,16,0.0001,-2.4549222,8.632750601987043,26.141815112531596,6.8462465940713875
CNN,8,16,16,0.001,0.13955329540596473,4.308162203195081,13.046036539593711,3.4169138895784217
CNN,8,16,16,0.01,0.16409654549306896,4.2462750157279645,12.858628900106531,3.3604250729758123
CNN,8,16,32,0.0001,-0.405992801,5.507082807684285,16.676624543601065,4.4479641736266995
CNN,8,16,32,0.001,0.13661231161057696,4.315518514162316,13.068313022499577,3.4197997413947316
CNN,8,16,32,0.01,0.14646816634280746,4.2908162834387245,12.99350938479289,3.4153148936938593
CNN,8,16,64,0.0001,-0.604873171,5.883698593880484,17.817097691167216,4.746569854219097
CNN,8,16,64,0.001,0.07504291158382426,4.466741821277907,13.52624953863285,3.5822120089246234
CNN,8,16,64,0.01,0.09727378360622274,4.4127374245711,13.362712675463397,3.4919190792928387
CNN,8,32,16,0.0001,-0.437672077,5.568778925789607,16.86345358419665,4.4765287673452665
CNN,8,32,16,0.001,0.1280621976380215,4.3368341263018015,13.132861254836161,3.437523221995688
CNN,8,32,16,0.01,0.14610557665164525,4.291727579593097,12.996268984447589,3.4265085746595787
CNN,8,32,32,0.0001,-0.874752333,6.359193056387032,19.256996617821905,5.097729608367812
CNN,8,32,32,0.001,0.13247168909118645,4.325854288407677,13.099611957430572,3.423410373337655
CNN,8,32,32,0.01,0.13504519238086388,4.31943324800896,13.08016767383286,3.443375277510578
CNN,8,32,64,0.0001,-1.014833765,6.592492865649417,19.963478336188974,5.1001438511611585
CNN,8,32,64,0.001,0.08520482873402846,4.442137426077666,13.45174216781499,3.5254357552344127
CNN,8,32,64,0.01,0.1307025950237094,4.330262758741629,13.112961748443036,3.4198631138384856
CNN,8,64,16,0.0001,-0.45615971,5.60447019220744,16.971534372214826,4.518597722103189
CNN,8,64,16,0.001,0.11773576935381835,4.3624392731001285,13.21039911552416,3.4387862871500654
CNN,8,64,16,0.01,0.06940581084670638,4.4803323038278355,13.567404426395802,3.5329969187519237
CNN,8,64,32,0.0001,-0.320430235,5.3368843105653205,16.16122709390634,4.373046244042325
CNN,8,64,32,0.001,0.14897850723140416,4.2845017308861735,12.974387569167964,3.392214052817355
CNN,8,64,32,0.01,0.10085641793867672,4.403972341114148,13.336170128163955,3.5124143428099512
CNN,8,64,64,0.0001,-1.447834591,7.266429965947611,22.00430401108057,5.56991302073109
CNN,8,64,64,0.001,0.14661724496245443,4.290441548204961,12.992374606360283,3.3997141647768783
CNN,8,64,64,0.01,0.2343459348565704,4.063931272599642,12.306453047987002,3.2193049678852095
CNN,16,16,16,0.0001,-0.547587402,5.777735433116606,17.49621857799196,4.6343974842788525
CNN,16,16,16,0.001,0.08767572521453082,4.4361341786877615,13.433563050801514,3.533786939720452
CNN,16,16,16,0.01,0.08394274358398668,4.44520063820696,13.461018229272856,3.56182798701512
CNN,16,16,32,0.0001,-0.452950076,5.598290162085464,16.952819919280042,4.514835405539151
CNN,16,16,32,0.001,0.1266814129422934,4.34026663337634,13.143255620369484,3.441819589170235
CNN,16,16,32,0.01,0.11408391851763644,4.371458411407388,13.237710995245145,3.4646531823550797
CNN,16,16,64,0.0001,-0.558453963,5.797984462248243,17.55753696887026,4.710227034240345
CNN,16,16,64,0.001,0.1339906695123394,4.322065497484946,13.08813868820636,3.427869477771676
CNN,16,16,64,0.01,0.12040456550911005,4.355836217840358,13.19040365199959,3.4793660498766177
CNN,16,32,16,0.0001,-0.409108146,5.51318062321434,16.69509003316824,4.5229481309620025
CNN,16,32,16,0.001,0.12433378069949885,4.346096413907783,13.160909442636113,3.447566863698817
CNN,16,32,16,0.01,0.09832936118587599,4.410156714565188,13.354897733628048,3.515270633469135
CNN,16,32,32,0.0001,-0.239427235,5.170595643137534,15.657669444713292,4.196428321080675
CNN,16,32,32,0.001,0.14615489231480638,4.291603645976783,12.995893686951659,3.4043375107427107
CNN,16,32,32,0.01,0.15306303480309502,4.274207505411163,12.943214452799644,3.384512326993425
CNN,16,32,64,0.0001,-0.521269272,5.72839695184267,17.346811104654382,4.577846451021309
CNN,16,32,64,0.001,0.14314964941748554,4.299149500989046,13.018744149763728,3.4371516317251785
CNN,16,32,64,0.01,0.12428989381546318,4.346205321979908,13.161239239570719,3.4284106252684396
CNN,16,64,16,0.0001,-0.25210314,5.196968813653782,15.737533045476685,4.2118121705663825
