Feature,MeanAbsSHAP
GNDVI_std,1.6567239376183422
Canopy_Volume,1.006997307172148
Canopy_HP,0.9106033670987214
Canopy_LAI,0.5496602906749614
Canopy_S,0.4371327235038738
Canopy_COV,0.40434197504793595
Canopy_K,0.3762337733257479
Thermal_correlation,0.11829673628884903
NDVI_mean,0.08643475482674262
Thermal_contrast,0.08267326241397326
Green_contrast,0.07784681878520061
NIR_mean,0.07288083454582864
Green_correlation,0.06780642581672808
Temp_std,0.06486315898387024
RedEdge_contrast,0.05530194393797741
