NIR_mean,NDVI_mean,GNDVI_std,Temp_std,Green_contrast,Green_correlation,RedEdge_contrast,Thermal_contrast,Thermal_correlation,Canopy_Volume,Canopy_COV,Canopy_LAI,Canopy_HP,Canopy_S,Canopy_K
-0.030802669940892674,0.00917153791669577,-5.8533314344348275,-0.024088851028058886,-0.10373301567723221,-0.26244728206433354,-0.09831535685552527,0.009750579483426624,0.06845422305387977,0.025254380064145782,-0.4009520186845847,0.04166034921554696,-1.394045882697601,0.15821640822414615,-1.1222190726061407
-0.047643964151713375,-0.013428162805121312,-6.005219129659696,-0.0430350926633376,0.05484567266498869,-0.021323998726009707,0.009674430238074601,0.03485297200199055,-0.0362896776609647,0.007245493459950462,-0.4913582716034682,0.04873806362010393,-1.3151169669100193,0.16749757583727706,-1.1620584367967122
-0.01566401227134416,-0.002101066488450839,-6.001521740961606,-0.027412593598201536,-0.0008175515895911405,-0.2136973141936518,-0.08228301629660721,0.03020126872517638,-0.03401170053709312,0.03518533067919748,-0.39384936297310447,0.04026215116192793,-1.384627614233537,0.1530886004106528,-1.176457648686757
-0.017362583621529967,-0.017977932762046206,-5.980195116720543,-0.03554579480279221,0.05020335748385791,-0.22123261774603498,0.01725576888330929,-0.012139124253268643,0.02784093827029629,0.05475008144413261,-0.43100298217488814,0.032338700538599996,-1.3900583733315495,0.16031423522139532,-1.1689667888158937
-0.022483282148096313,0.04058486861429675,-3.606441696044443,-0.013099894933985,0.038829536970614205,-0.18661666291421944,0.01557307574873025,0.12898349258350056,-0.09390532136461016,-0.014799247828131372,0.6321778870421307,0.03847415345280724,-0.20922173830822652,0.6604251709246525,0.6629731057463837
0.010254259432945724,0.04241280431282775,-3.7930996192590025,0.046109382290673795,0.09178429160038426,0.03241488179652992,0.07066136421809474,0.007149655945394409,-0.05382196479042408,0.023051285636422024,0.5791615411599081,0.09511530878509133,-0.33600198573460655,0.7229437537346846,0.6881906075421004
-0.03561828016735321,0.052346179483318545,-3.696991018999853,0.036349357491128935,-0.049768229836144796,0.00896913582447488,-0.08994601101781116,0.07714198790420959,0.08054555442416131,-0.013945019569228513,0.5853196109417794,0.06567010640506915,-0.3083726407610893,0.6689823322933832,0.7237358270000762
0.011910920412143557,0.0314253093312761,-3.590023600925605,0.04800269534836235,0.0879268652806876,0.029092529113127475,0.15617340149613068,-0.07824906550577226,-0.06065147225771602,-0.0032449524984109134,0.5679181167911269,0.07076626200092113,-0.4431884776630021,0.7070517783589688,0.6798001818992997
-0.024677723961254838,0.0309470094104114,-4.19188838142795,0.009879280720596618,0.012000482506240154,0.004237983363358915,-0.21031682008945451,-0.0014250342834257134,-0.0790909551689869,-1.1874380216033502,-0.2520508927018156,-0.6160789624891457,-1.0575317651486291,0.1956999647611139,0.15567356717578926
-0.03930514981812765,0.02421771571378571,-4.646243963217782,-0.010131605419841313,-0.004000470157299879,0.0067890755809986245,-0.10433974922398591,0.039137194548791554,-0.10612643932711399,-1.2676495663574874,-0.33856385117013166,-0.6386846967643537,-1.102014331700943,0.1589780885137026,0.13499599713089017
