Model,R2,RMSE,rRMSE,MAE
RF,0.8248505814309695,1.9437230921086208,5.886009322904314,1.3855189379743096
XGB,0.906192232142569,1.4224907314667408,4.307606233187827,0.8433998857506018
BPNN,0.49092955164909635,3.3137442543565783,10.034726476241012,2.6045431776792425
Stacking,0.9368870854377747,1.1667805627449517,3.5332611409426735,0.713944673538208
